"Note","Course","Module","Clip","Time in Clip","URL"
"Comments\n\n- //\n- /*     */\n- /**    */ (used for documentation, I used mainly the top two)","Java Fundamentals: The Java Language","Creating a Simple App","Comments","0:52","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m2&clip=4&mode=live&start=52.320742&noteid=d03c9330-786c-476b-b861-4b61065ac55a"
"cannot nest block comments","Java Fundamentals: The Java Language","Creating a Simple App","Demo: Comments","3:02","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m2&clip=5&mode=live&start=182.215895&noteid=d81a55c6-6379-412a-b3e4-0e39b1978288"
"packages provide organization\n- follow standard naming and affect source code file structure","Java Fundamentals: The Java Language","Creating a Simple App","Introducing Packages","0:37","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m2&clip=6&mode=live&start=37.867544&noteid=8088385d-3106-4045-8f89-5da987565769"
"package naming conventions:\n- all lowercase\n- use reversed domain name to assure global uniqueness\nexample: pluralsight.com -> com.pluralsight\n- add further qualifiers to assure uniqueness within a company/group\nexample: com.pluralsight.myproject (or deptname.myproject)","Java Fundamentals: The Java Language","Creating a Simple App","Introducing Packages","1:04","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m2&clip=6&mode=live&start=64.176921&noteid=73dabb11-0146-47ae-a81b-d30f823d8886"
"if class is named Main but is in com.pluralsight.myproject package, then class is now com.pluralsight.myproject.Main","Java Fundamentals: The Java Language","Creating a Simple App","Introducing Packages","4:16","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m2&clip=6&mode=live&start=256.931381&noteid=6dde2355-1a22-4da2-bea5-87d4f4587cc9"
"Java requires no correlation between package names and source code file structure, but IDEs do","Java Fundamentals: The Java Language","Creating a Simple App","Introducing Packages","4:54","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m2&clip=6&mode=live&start=294.269855&noteid=515afcf6-d874-4755-ac0d-d323c8697692"
"in IDEs, each part of the package name need to be their own subfolder\nex. com.pluralsight.myproject.Main goes as follows\nsrc->com->pluralsight->myproject->Main","Java Fundamentals: The Java Language","Creating a Simple App","Introducing Packages","6:02","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m2&clip=6&mode=live&start=362.276238&noteid=537947d2-e335-4314-ad0c-b89f533c7e41"
"with packages, when in terminal, instead of having to go all the way to the directory that contains the class file, you can just go to directory that contains the first subfolder of the package\nexample: package is com.pluralsight.getorganized.Main and the Organized directory contains the com directory\n- we can run java com.pluralsight.getorganized.Main while only inside the Organized directory (as opposed to having to go deeper) and it'll run the Main.class file even though it's not directly inside the Main directory, because technically the class name is now com.pluralsight.getorganized.Main\n(similar for NetBeans)","Java Fundamentals: The Java Language","Creating a Simple App","Demo: Packages","3:22","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m2&clip=7&mode=live&start=202.73884&noteid=9a1e642f-4151-4dc8-ab87-03e68c7b86ea"
"IntelliJ and NetBEans have different output file structures","Java Fundamentals: The Java Language","Creating a Simple App","Creating and Running a NetBeans Project","4:21","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m2&clip=8&mode=live&start=261.14958&noteid=ed672cb0-5ef7-4934-82bf-cad45577674d"
"Packages provide organization:\n- assure uniqueness\n- Most IDE's tie source code file structure to package names","Java Fundamentals: The Java Language","Creating a Simple App","Summary","1:30","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m2&clip=9&mode=live&start=90.408772&noteid=129d5158-bf3b-4157-a1b7-93f404b3aa5c"
"Java is strongly typed: when we declare the name of the variable, we have to declare the type as well","Java Fundamentals: The Java Language","Variables, Data Types, and Math Operators","Variables","0:28","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m3&clip=1&mode=live&start=28.747956&noteid=54a8a959-0bac-4d38-8ec5-24161d38babd"
"Java Variable Naming follows the Camel Case convention:\n\n1 - first letter is lowercase\n2- start of each after the first is uppercase\n3 - all other letters are lower case","Java Fundamentals: The Java Language","Variables, Data Types, and Math Operators","Variables","2:06","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m3&clip=1&mode=live&start=126.936729&noteid=6e935aeb-fe68-429c-961a-7d6a9291a337"
"Primitive Data Types: built into the language\n- Integer\n- Floating Point\n- Character\n- Boolean\n","Java Fundamentals: The Java Language","Variables, Data Types, and Math Operators","Primitive Data Types","0:13","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m3&clip=2&mode=live&start=13.938662&noteid=e21ef341-6946-4d81-9995-c07e2b9da5ed"
"4 Integer Types:\n- byte (8 bits)\n- short (16 bits)\n- int (32 bits)\n- long (64 bits) must end with an L","Java Fundamentals: The Java Language","Variables, Data Types, and Math Operators","Primitive Data Types","0:54","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m3&clip=2&mode=live&start=54.760882&noteid=72c49254-603d-47ad-a0b8-e7c218f21dbc"
"Floating Points:\n- stores values containing a fractional portion\n\nFloating Points Types:\n- float (32 bits) must end with an f\n- double (64 bits) with or w/o 'd' at end","Java Fundamentals: The Java Language","Variables, Data Types, and Math Operators","Primitive Data Types","2:56","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m3&clip=2&mode=live&start=176.127829&noteid=2e5028c5-2fca-4b50-866c-e332e6c436fa"
"Character\n- char stores a single Unicode character (literal values placed between single quotes)","Java Fundamentals: The Java Language","Variables, Data Types, and Math Operators","Primitive Data Types","3:33","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m3&clip=2&mode=live&start=213.368021&noteid=20a60905-0467-4523-9471-5960ca59768d"
"Boolean\n- true\n- false","Java Fundamentals: The Java Language","Variables, Data Types, and Math Operators","Primitive Data Types","4:20","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m3&clip=2&mode=live&start=260.212552&noteid=799a5951-a7a2-4a78-b5d4-ddeae85cc040"
"Primitive Types are stored by-value:\n- each primitive type variable has its own separate copy of the data\n\nGiven the code:\nint firstVal = 100;\nint otherVal = firstVal;\nfirstVal = 50;\n\n- firstVal is set to 100\n- then the value of firstVal is copied into otherVal, making the value of otherVal 100 as well\n- finally, the value of firstVal is now changed to 50, however the value of otherVal is STILL 100\n","Java Fundamentals: The Java Language","Variables, Data Types, and Math Operators","Primitive Types are Stored By-value","0:08","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m3&clip=3&mode=live&start=8.974704&noteid=58910ab0-4a2a-4698-8ff0-9028b6634169"
"Arithmetic Operators:\n\nBasic Operators: +,-,*,/,%\n\nNote: Integer Division\n\nPrefix/Postfix Operators: ++,--\n\nPrefix (before) applies applies operation before returning value\n\nPostfix (after) applies applies operation after returning value\n\nCompound Assignment Operators:\n+= ,-=, *=, /=, %=","Java Fundamentals: The Java Language","Variables, Data Types, and Math Operators","Arithmetic Operators","0:16","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m3&clip=4&mode=live&start=16.344208&noteid=da36cf21-44ec-4f5a-9d4e-62ff4acc3cff"
"Operator Precedence:\n- Postfix: x++, x--\n- Prefix: ++x, --x\n- Multiplicative: *, /, %\n- Additive: +, -\n\nOperators of equal precedence are evaluated left-to-right\n\nCan override precedence with parentheses; parentheses are read from the inside out","Java Fundamentals: The Java Language","Variables, Data Types, and Math Operators","Operator Precedence","0:20","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m3&clip=5&mode=live&start=20.446859&noteid=eb9a320c-279b-4b8a-962b-1f6872ab8526"
"Type Conversions:\n\nImplicit Type Conversions\n- conversions performed automatically by the compiler because moving to a wider data type\n- Mixed integer sizes: uses largest integer in equation\n- mixed floating point sizes: uses double\n- mixed integer and floating point: uses largest floating point in equation\n- Example:\nint iVal = 50;\nlong LVal = iVal;\n\nExplicit Type Conversions\n- conversions performed explicitly in code with cast operator, widening and narrowing conversions\n- floating point to integer drops fraction\n- use caution with narrowing conversions\n- integer to floating point can lose precision\n- Example:\n long LVal = 50;\n int iVal = (int) LVal;","Java Fundamentals: The Java Language","Variables, Data Types, and Math Operators","Type Conversion","0:15","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m3&clip=7&mode=live&start=15.981159&noteid=db19f28b-f18c-4589-b07a-2d71bfb1d677"
"Relational Operators:\n>\n<\n==\n!=\n>=\n<=","Java Fundamentals: The Java Language","Conditional Logic, Looping, and Arrays","Conditional Logic and Relational Operators","2:08","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m4&clip=1&mode=live&start=128.118395&noteid=d8eeb389-cc96-4385-8e3d-c4a07314f1e8"
"Conditional Assignment:\n- Assign a value to a variable based on the result of a condition\nresult=condition?true-value : false-value ;\n- if the condition is true, then\nresult = true-value\n- if the condition is false, then \nresult = false-value\n","Java Fundamentals: The Java Language","Conditional Logic, Looping, and Arrays","Conditional Assignment","0:15","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m4&clip=2&mode=live&start=15.352939&noteid=1239b87d-2a59-478d-bb61-b4363e7e9b6d"
"If-Else:\n- if (condition-1)\ntrue-statement-1;\nelse if(condition-2)\ntrue-statement-2;\nelse\nfalse-statement;","Java Fundamentals: The Java Language","Conditional Logic, Looping, and Arrays","If-else Statement","0:49","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m4&clip=3&mode=live&start=49.440523&noteid=f2eb6a0e-dfea-47ac-9ae2-ee1037ae582c"
"A block statement groups statements into a compound statement\n- essentially, if you surround your if statements with brackets, you can make a ton of stuff happen only if that condition is proven true and ignore that entire block of code otherwise","Java Fundamentals: The Java Language","Conditional Logic, Looping, and Arrays","Block Statements","0:37","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m4&clip=4&mode=live&start=37.266513&noteid=02579bbb-a61e-4e47-b123-2d151ac3d20e"
"Multiple variable declarations can be done on one line for the same type:\n- Example: int v1=10,v2=4,diff;","Java Fundamentals: The Java Language","Conditional Logic, Looping, and Arrays","Block Statements","2:32","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m4&clip=4&mode=live&start=152.745411&noteid=560efca7-924d-410f-8fe2-82e7094df3b4"
"A variable declared within a block is NOT visible outside of the block.\n- a variable's range of visibility is known as the variable's scope","Java Fundamentals: The Java Language","Conditional Logic, Looping, and Arrays","Block Statements and Variable Scope","0:22","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m4&clip=6&mode=live&start=22.041101&noteid=b110e860-41b5-4175-8e13-cd4076149348"
"Logical Operators:\n- And - & - True if true&true\n- Or - | - True if false|true,true|true,true|false\n- Exclusive or (XOR) - ^ - True if false|true,true|false\n- Negation - ! - True if !False\n\nConditional Logical Operators:\n- Conditional And - && - True if true&true\n- Conditional Or - || - True if false|true,true|true,true|false\n\nOnly execute the right side if it is necessary to determine the result:\n- && only executes the right side if the left side is true\n- || only executes the right side if the left side is false","Java Fundamentals: The Java Language","Conditional Logic, Looping, and Arrays","Logical Operators","0:30","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m4&clip=7&mode=live&start=30.256506&noteid=f17bb5ce-38d9-4c14-b60d-c0006f62200b"
"Main 3 Types of Loops:\n- While Loop\n - while(condition)\n  statement;\n- For Loop\n - for(initialize;condition;update)\n    statement;\n- Do While Loop\n - statement always executes at least once\n - do\nstatement;\nwhile(condition);","Java Fundamentals: The Java Language","Conditional Logic, Looping, and Arrays","Loops","0:25","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m4&clip=10&mode=live&start=25.129755&noteid=2e8f552a-f811-45b3-9406-f8938c1ee08e"
"Arrays ([]):\n- provides an ordered collection of elements\n\nFor-each loop:\n- executes a statement once for each member in an array\n- for(loop-variable-declaration:array)\n statement;\n- handles getting collection length\n- handles accessing each value\n- loop-variable-declaration refers to a variable of the same type as the array variables used to traverse the array, essentially a pointer. So if it were an array of ints called arrint, the loop would be for(int ptr : arrint)","Java Fundamentals: The Java Language","Conditional Logic, Looping, and Arrays","Arrays","0:34","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m4&clip=11&mode=live&start=34.812697&noteid=9e35688b-d47c-44ac-a829-2eba33e0cc4a"
"Switch\n- transfers control to a statement based on a value\n - simplifies testing against mltiple possible matches\n- switch(test-value){\n case value-1:\n statements\ncase value-n:\nstatements\ndefault:\nstatements\n}\n- a match can execute more than one statement; as a matter of fact, unless you use the break keyword, all case statements that follow the case you first reached will be executed\n- can optionally include default to handle any unmatched values\n- it's good programming practice to include a break at the end of each case in a switch statement\n- of the primitive types discussed up until this point, switch can only be used with char and int","Java Fundamentals: The Java Language","Conditional Logic, Looping, and Arrays","Switch Statement","0:02","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m4&clip=13&mode=live&start=2.48852&noteid=7877e91c-1888-4aec-b6d9-4cbe81bf6a7f"
"- Java is an objected oriented language\n - objects encapsulate data, operations, and usage semantics\n - allows storage and manipulation details to be hidden\n- Classes provide a structure for describing and creating objects","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Classes","0:10","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=1&mode=live&start=10.103865&noteid=a5d21c17-532a-4a51-8e76-147035f6e00e"
"Classes:\n- a class is a template for creating an object \n - declared with the class keyword followed by the class name\n - Java source file name normally has same name as class\n - body of class contained within brackets\n - a class is made up of both state and executable code\n      - fields: store object state\n      - methods: executable code that manipulates state and performs operations\n      - constructors: executable code used during object creation to set the initial state\n\n","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Classes","1:31","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=1&mode=live&start=91.915991&noteid=56f4fd7c-4b05-485e-9c49-59e66616b0d9"
"Using classes:\n- use the new keyword to create a class instance\n  - object_name ariel = new object_name();\n  - allocates the memory described by the class\n  - returns a reference to the allocated memory, so ariel is not the object itself, but a reference to the object","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Using Classes","0:04","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=2&mode=live&start=4.427415&noteid=0f71c739-51fd-4a85-bab5-13043509a76d"
"Classes are reference types:\n- ariel1 and ariel2 are initially pointing to two different objects\n- but if you set ariel2=ariel1, then ariel2 simply points to what ariel1 is pointing to from now on, and since there is nothing pointing to what was ariel2's object, that object now disappears\n- so now if you make a change to one of ariel1's fields, ariel2's fields will be changed as well, because you now set ariel2 to point to the same object ariel1 is pointing to\n- this is different from setting primitive types equal to each other, because there values are copied, here references are copied/moved around","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Using Classes","1:36","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=2&mode=live&start=96.088575&noteid=3212b05b-7f50-481b-a5b1-275b30ac9990"
"Encapsulation and Access Modifiers:\n - the internal representation of an object is generally hidden- this concept is known as encapsulation\n- Java uses access modifiers to achieve encapsulation","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Encapsulation and Access Modifiers","0:07","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=3&mode=live&start=7.854836&noteid=3ee19dbb-a1f0-413a-abce-48ff5ff5a52a"
"Basic Access Modifiers:\n- no access modifier: visible only within its own package (aka package private)\n- public: visible everywhere\n- private: visible only within its own class","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Encapsulation and Access Modifiers","1:15","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=3&mode=live&start=75.86918&noteid=5ce54c89-5f0d-4c8f-a252-51f2e4e01582"
"Example: class name and constructor as public, fields as private\nNote: public classes have to be inside of a source file with the same name, but not required if not public","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Applying Access Modifiers","1:45","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=4&mode=live&start=105.443171&noteid=da1a7bbb-173a-4cd1-b42b-863825722539"
"Naming classes:\n- same as variables except first letter of every word, including the first word, is uppercase (Pascal Case)\n- use simple, descriptive nouns (Person, BankAccount)\n- avoid abbreviations unless more common than actual word","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Naming Classes","0:07","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=5&mode=live&start=7.296733&noteid=f3d800d6-b249-4730-a44c-868b20584e07"
"Method Basics:\n- executable code that manipulates state and performs operations\n- same naming conventions as variables, but should be a verb or action\n- must have a return type, or void if none\n- typed parameter list can be empty\n- body contained within brackets\n- return-type name (typed-parameter-list){\nstatements;\n}","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Method Basics","0:09","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=6&mode=live&start=9.305027&noteid=55b199e3-ef7f-4966-9e61-c9e4d15f9bab"
"Exiting from a Method:\n- 3 reasons for why it would exit:\n  - the end of the method is reached\n  - a return statement is encountered\n  - an error occurs\n- unless there's an error, control returns to the method caller\n- returns can be placed anywhere inside the method ","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Exiting from a Method","0:04","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=7&mode=live&start=4.288998&noteid=dbfa2ca1-dcac-4f3e-be6c-8f70ceac27a6"
"Method return values:\n- a method returns a single value:\n- primitive value\n- reference to object\n- reference to array (since arrays are objects)","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Method Return Values","0:03","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=8&mode=live&start=3.353739&noteid=73418bec-b798-4dee-9e9d-e74badb03b40"
"Special references - this and null\n- Java provides special references with predefined meanings\n  - this is an implicit reference to the current object\n     - useful for reducing ambiguity\n     - allows an object to pass itself as a parameter\n - null is a reference literal\n     - represents an uncreated object\n     - can be assigned to any reference variable, and can be compared with the current value of a reference variable to determine if the object refers to anything or not\n    - used to say that this variable isn't pointing to anything at the moment","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Special References: this and null","0:06","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=9&mode=live&start=6.547616&noteid=aa6b2ea8-b870-47a4-a7d8-507c4e9ef0b8"
"Field encapsulation:\n- in most cases, a class' fields should not be directly accessible outside of the class\n-  helps to hide implementation details\n- use methods to control field access\n","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Field Encapsulation, Accessors, and Mutators","0:08","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=11&mode=live&start=8.089875&noteid=c7c266a5-12da-4038-9a4c-af0c73039ba2"
"Accessors and Mutators aka Getters & Setters:\n- use the accessor/mutator aka getter/setter pattern to control field access\n  - accessor/getter retrieves field value\n      - method name: getFieldName\n      - it's public\n - mutator/setter modifies field value\n      - method name: setFieldName\n      - it's public\n","Java Fundamentals: The Java Language","Representing Complex Types with Classes","Field Encapsulation, Accessors, and Mutators","0:45","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m5&clip=11&mode=live&start=45.526975&noteid=de96aee1-89e4-42f4-b714-5f540d706578"
"Establishing Initial State:\n- when an object is created, it is expected to be ina useful state\n- often the default state established by Java is not enough\n- the object may need to set values or execute code","Java Fundamentals: The Java Language","Class Initializers and Constructors","Establishing Initial State","0:14","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m6&clip=1&mode=live&start=14.25799&noteid=eef4376b-93ec-41de-9f64-d2a24a2c786a"
"3 Possible Mechanisms for Establishing Initial State:\n- field initializers\n- constructors\n- initialization blocks","Java Fundamentals: The Java Language","Class Initializers and Constructors","Establishing Initial State","0:37","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m6&clip=1&mode=live&start=37.43526&noteid=c7c8201f-f3f4-42d7-bc0b-56de6625f4da"
"Field Initial State:\n- a field's initial state is established as part of object construction\n  - fields receive a Zero value by default\n      - 0/false/null depending on type","Java Fundamentals: The Java Language","Class Initializers and Constructors","Field Initial State and Initializers","0:03","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m6&clip=2&mode=live&start=3.639203&noteid=11eefa89-664c-4d58-bf32-d79516d8bbcd"
"Field Initializers:\n- allow you to specify a field'sintial value as part of its declaration\n   - can be a simple assignment, literally just setting the field to a specific value when you first implement the class\n   - can be an equation\n   - can reference other fields\n   - can be a method call\n","Java Fundamentals: The Java Language","Class Initializers and Constructors","Field Initial State and Initializers","1:12","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m6&clip=2&mode=live&start=72.546968&noteid=0a139966-eefd-4afa-9084-76abb3357d54"
"Constructor:\n- executable code used during object creation to set the initial state\n- NOT A METHOD, DOES NOT HAVE A RETURN TYPE\n- every class has at least one constructor\n   - if there is no explicit constructor, Java provides a basic one that does nothing but create the instance of the class\n- a class can have multiple constructors, but each one has to have a different parameter list (different number of and types of parameters)\n- if you implement a constructor on your own, you are then responsible for ALL constructors, i.e. Java's automatic constructor will not exist","Java Fundamentals: The Java Language","Class Initializers and Constructors","Constructor and Adding Multiple Constructors","0:01","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m6&clip=3&mode=live&start=1.018808&noteid=89f7f69e-4024-4bea-88bf-3ce44607335c"
"Chaining Constructors:\n- one constructor can call another\n   - use the this keyword followed by the parameter list, which will then call the constructor with that parameter list. Ex. this(random_var)\n   - the call to the other constructor must be the first line in the constructor you are currently implementing","Java Fundamentals: The Java Language","Class Initializers and Constructors","Chaining Constructors and Constructor Visibility","0:14","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m6&clip=4&mode=live&start=14.948753&noteid=32dba360-7ab2-4067-a4af-9803e8672592"
"Constructor Visibility:\n- use access modifiers to control constructor visibility\n   - limits what code can perform specific creations\n   - can make constructors private to make sure they can't be called outside the class","Java Fundamentals: The Java Language","Class Initializers and Constructors","Chaining Constructors and Constructor Visibility","2:35","https://app.pluralsight.com/player?course=java-fundamentals-language&author=jim-wilson&name=java-fundamentals-language-m6&clip=4&mode=live&start=155.621508&noteid=ce1be666-e982-4c8d-9f24-176716fe64dd"
